,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
371,6037.230121352774,6263.725957242732,12460.225973811564,12289.542781998445,3991.5931590347764,4803.457624397754,27131.395671770577,3682.009723622885,33227.88664661055,22982.561481865258,9520.978062874743,11175.180856195173
372,5970.941436259343,6245.921271965881,12489.640286411002,12215.980877912036,3966.086473019296,4796.297162250599,34831.735700599675,3627.9153763941317,32397.27423681363,22927.003207260786,9506.295854809734,11096.881658952869
373,5830.859891782666,6193.737118822709,12477.547512224133,12187.881598130643,3878.750950316931,4804.798497275693,31498.613007499032,3642.955756975073,31707.115237419694,22890.070153607598,9452.124891548132,11035.234556464626
374,5660.213672232213,6015.034425759686,12284.877985389536,12122.122083471013,3818.44051770961,4763.762654846727,23957.82339309255,3519.5072565223136,31167.096090525487,22822.674121597895,9168.399089500454,10922.61422010722
375,5637.810035212707,6044.6794721451115,12162.244827883958,12296.315757583454,3853.6097255051336,4810.308983975259,25692.630858031975,3480.2656240493425,31353.56010088806,21432.970113312193,9333.29056767174,10918.934672695068
376,5710.5130534540185,6303.900865201956,12464.81380940559,12280.93331096248,4030.8576024806093,4911.312609598033,25652.425508653636,3584.373405241654,32843.819217474134,21535.12573829123,9633.845285764362,10889.26359017027
377,5980.44400477362,6420.513232293098,12477.375936413078,12010.353686762646,4233.969763659251,4944.402388633517,26285.533454380162,3799.364046435039,34873.128836744734,22102.297857898473,9477.832335896652,10829.897402117049
378,6398.713807605334,6481.225440202384,12347.336079715022,11812.536812391054,4141.685598533606,4989.888131822185,33415.913431015106,3820.3352386354763,34642.10719273708,23977.592220211805,9508.145534183028,10832.992518518495
379,6405.6498210932905,6224.827554771912,12322.016703316456,11415.639654224262,3898.403444094309,4783.222165394303,36371.22898550063,3666.128250423836,32621.51537135356,26625.086222298203,9090.74326109744,10683.467711455334
380,6189.430000434296,6012.642418803516,11972.68323588732,10994.44012603728,3741.883623577493,4538.042829734703,35913.24353245534,3548.811575342611,31153.535071590028,26198.70702431058,8669.794241425107,10486.578492508965
381,5923.952745595927,6158.319088066592,11100.027791146107,10493.832130878936,3637.518784088102,4380.685032758205,27132.43963307719,3448.9650937666097,31979.7885824434,25052.899913820016,8198.750291887442,10172.19313018875
382,6052.061690718939,6666.030752769434,10471.842506759878,10418.020910499445,3456.5908624264007,4481.360077669309,23770.70366673735,3570.688296866495,32278.61532112836,24019.419768341308,8522.517287233693,10050.435036508088
383,5931.9309874850915,6346.234647204834,9806.159328591357,10144.563111563712,3395.3451689599365,4407.059076049771,21693.351824456833,3399.76935886721,30907.983764437235,26483.823954398886,8065.001571676429,9755.928675891919
384,5701.835185243146,6106.480181981812,9228.576673913392,9561.454881524345,3430.8277221714457,4469.422727306855,21802.318191692924,3215.2464404574885,30503.574806897628,25149.59601012547,7723.541809616302,9055.621985857528
385,5534.899146648027,5924.001375727954,8979.116282912348,9470.716515541593,3391.2985614184677,4427.7087911117915,19879.083149099744,3147.1430216961926,29623.56154240725,23326.40441936315,7548.592208651892,8988.501641413068
386,5189.987236000481,5549.181390942805,8768.639604019874,9214.291552734827,3352.191638188475,4300.508884977336,19180.60694687018,2953.4193637205863,28693.178779013735,22843.462460970502,7061.830120520158,8846.091130011951
387,4965.644673736383,5293.025860248867,8784.153140698221,9152.828106874242,3321.9486799732194,4305.192724556677,18883.71950857507,2826.159809384866,28110.05496478896,20515.40210686957,6695.2386399849465,8818.779156885454
388,4625.7472026094765,5314.791710355482,8872.614391772087,9415.97071245243,3474.558290849531,4545.721895033786,18832.334797845593,2653.0881068880294,28607.453766457435,18191.73863768251,6667.88205200104,9014.465222730376
