name,scn_name,bus,carrier,p_set
72447 rural_gas_boiler,eGon2035,72447,rural_gas_boiler,0.0
72448 CH4_for_industry,eGon2035,72448,CH4_for_industry,0.0
72448 rural_gas_boiler,eGon2035,72448,rural_gas_boiler,0.0
72449 CH4_for_industry,eGon2035,72449,CH4_for_industry,0.0
72449 rural_gas_boiler,eGon2035,72449,rural_gas_boiler,0.0
72450 CH4_for_industry,eGon2035,72450,CH4_for_industry,0.0
72450 rural_gas_boiler,eGon2035,72450,rural_gas_boiler,0.0
72451 CH4_for_industry,eGon2035,72451,CH4_for_industry,0.0
72451 rural_gas_boiler,eGon2035,72451,rural_gas_boiler,0.0
72452 CH4_for_industry,eGon2035,72452,CH4_for_industry,0.0
72452 rural_gas_boiler,eGon2035,72452,rural_gas_boiler,0.0
72453 CH4_for_industry,eGon2035,72453,CH4_for_industry,0.0
72453 rural_gas_boiler,eGon2035,72453,rural_gas_boiler,0.0
72454 CH4_for_industry,eGon2035,72454,CH4_for_industry,0.0
72454 rural_gas_boiler,eGon2035,72454,rural_gas_boiler,0.0
72455 CH4_for_industry,eGon2035,72455,CH4_for_industry,0.0
72455 rural_gas_boiler,eGon2035,72455,rural_gas_boiler,0.0
72456 CH4_for_industry,eGon2035,72456,CH4_for_industry,0.0
72456 rural_gas_boiler,eGon2035,72456,rural_gas_boiler,0.0
72457 CH4_for_industry,eGon2035,72457,CH4_for_industry,0.0
72457 rural_gas_boiler,eGon2035,72457,rural_gas_boiler,0.0
72458 CH4_for_industry,eGon2035,72458,CH4_for_industry,0.0
72458 rural_gas_boiler,eGon2035,72458,rural_gas_boiler,0.0
72459 CH4_for_industry,eGon2035,72459,CH4_for_industry,0.0
72459 rural_gas_boiler,eGon2035,72459,rural_gas_boiler,0.0
72460 CH4_for_industry,eGon2035,72460,CH4_for_industry,0.0
72460 rural_gas_boiler,eGon2035,72460,rural_gas_boiler,0.0
72461 CH4_for_industry,eGon2035,72461,CH4_for_industry,0.0
72461 rural_gas_boiler,eGon2035,72461,rural_gas_boiler,0.0
72462 CH4_for_industry,eGon2035,72462,CH4_for_industry,0.0
72462 rural_gas_boiler,eGon2035,72462,rural_gas_boiler,0.0
72463 CH4_for_industry,eGon2035,72463,CH4_for_industry,0.0
72463 rural_gas_boiler,eGon2035,72463,rural_gas_boiler,0.0
72464 CH4_for_industry,eGon2035,72464,CH4_for_industry,0.0
72464 rural_gas_boiler,eGon2035,72464,rural_gas_boiler,0.0
72465 CH4_for_industry,eGon2035,72465,CH4_for_industry,0.0
72465 rural_gas_boiler,eGon2035,72465,rural_gas_boiler,0.0
72466 CH4_for_industry,eGon2035,72466,CH4_for_industry,0.0
72466 rural_gas_boiler,eGon2035,72466,rural_gas_boiler,0.0
72467 CH4_for_industry,eGon2035,72467,CH4_for_industry,0.0
72467 rural_gas_boiler,eGon2035,72467,rural_gas_boiler,0.0
72468 CH4_for_industry,eGon2035,72468,CH4_for_industry,0.0
72468 rural_gas_boiler,eGon2035,72468,rural_gas_boiler,0.0
