,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
5,4125.19036644114,4495.238161798312,6723.315199025606,7446.392708559419,3105.3193608494566,3758.044828313909,16048.110444605245,2512.960056040988,29850.224287471367,16195.125008024503,4649.365567773909,8556.132384944456
6,4274.4720283902625,4737.121628814469,8188.428443826888,8098.874191203037,3164.354483092363,3732.314289389139,16605.915464913658,2572.3439840738074,29979.53828946307,14151.317447576048,5085.659736154335,8839.210880752144
7,4594.840742990511,4910.204621002885,9012.007481589664,8520.020481761512,3292.085893786967,3714.445673050097,17735.030136847396,2687.8060139454683,30759.781200356854,14208.457824947092,5655.31595806645,9100.442818163403
8,5017.407294771021,5293.514644863065,9501.112854264606,8991.174038284877,3313.4896049635718,3864.030081821119,23187.44611745464,2915.9148319461974,31905.687300403213,14796.921492629546,6445.5995590413795,9425.15882959639
9,5172.4407292016,5386.842131907669,9795.15151421492,9332.496146579491,3300.6903713082093,3864.7864196064334,27405.11934536147,3017.93964335068,32838.975996425754,17516.028284423137,6713.807444488559,9619.22973970029
10,5267.059580869369,5552.495666214625,9876.888855147134,9508.381644826566,3452.3355027329812,3862.2072317579045,25273.939495791903,3095.3379514993894,33452.12778115048,19294.943868517144,6921.887054369918,9696.388165292445
11,5347.746626991944,5477.109116076807,9994.217034645175,9543.696714372152,3387.015045111806,3884.2877131244563,27024.23318183194,3101.1403949154383,34303.56604145542,20836.896421045156,6832.026474917433,9695.694351803439
12,5323.09391034377,5424.654945209314,10081.047282954438,9547.908642576087,3392.040207639409,3924.7621563480043,34696.92153650689,3083.6149258782816,33208.029440312195,21730.171677393468,6812.6576962615145,9719.377013566864
13,5206.914757953886,5346.56549956571,10208.941472482977,9608.502616832136,3359.581970005454,3910.352643456237,31293.08280316913,3083.1410170094823,31960.41569824989,22222.95027654032,6775.886386356675,9776.661702092426
14,5051.252349711907,5171.2387413072565,10069.838720312264,9776.052988873254,3363.314626821075,3888.2070146502538,23876.50868743067,2986.899652028569,31259.601612549515,22307.866997804584,6530.323618381911,9811.370318940884
