name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
44,eGon2035,4,71415,central_heat_pump,12.084577338180505,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.084577338180505,DE,inf,False,,,,,,1.0,1.0
45,eGon2035,4,71415,central_resistive_heater,6.800881905905482,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.800881905905482,DE,inf,False,,,,,,1.0,1.0
46,eGon2035,4,71425,central_heat_pump,5.122049370142311,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.122049370142311,DE,inf,False,,,,,,1.0,1.0
47,eGon2035,4,71425,central_resistive_heater,5.804322999764414,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.804322999764414,DE,inf,False,,,,,,1.0,1.0
48,eGon2035,4,71429,central_heat_pump,0.1596986453069296,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1596986453069296,DE,inf,False,,,,,,1.0,1.0
49,eGon2035,4,71429,central_resistive_heater,0.1456356290817832,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1456356290817832,DE,inf,False,,,,,,1.0,1.0
50,eGon2035,4,41240,dsm,54.39204343053899,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,54.39204343053899,DE,inf,False,,,,,,1.0,1.0
51,eGon2035,4,48653,power_to_H2,0.0,True,inf,1372.6909325666213,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,2.558283303157205,DE,31.0,False,,,,,,1.0,1.0
52,eGon2035,4,51439,central_resistive_heater,0.8086598207376976,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8086598207376976,DE,inf,False,,,,,,1.0,1.0
53,eGon2035,4,52040,rural_heat_pump,393.93712086270864,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,393.93712086270864,DE,inf,False,,,,,,1.0,1.0
54,eGon2035,4,69914,BEV_charger,690.1468368768692,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,690.1468368768692,DE,inf,False,,,,,,1.0,1.0
55,eGon2035,4,71396,power_to_H2,0.0,True,4.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,3.975549816602016,DE,31.0,False,,,,,,1.0,1.0
56,eGon2035,4,71411,power_to_H2,0.0,True,12.0,1372.6909325666213,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,11.90295542469789,DE,31.0,False,,,,,,1.0,1.0
57,eGon2035,4,71526,central_resistive_heater,0.03903447863765533,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03903447863765533,DE,inf,False,,,,,,1.0,1.0
58,eGon2035,4,41240,dsm,41.415454753878265,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.415454753878265,DE,inf,False,,,,,,1.0,1.0
