name,scn_name,bus,carrier,e_nom,e_nom_max,e_initial,capital_cost,e_nom_opt
64068 central_heat_store,eGon2035,64068,central_heat_store,559.3003195683933,inf,272.7133180621262,0.8423579405387989,559.3003195683933
64255 central_heat_store,eGon2035,64255,central_heat_store,558.8853270492486,inf,271.7507882657454,0.8423579405387989,558.8853270492486
64407 central_heat_store,eGon2035,64407,central_heat_store,576.8290027950749,inf,290.57446255714865,0.8423579405387989,576.8290027950749
64409 central_heat_store,eGon2035,64409,central_heat_store,560.3222684562511,inf,273.31660530177754,0.8423579405387989,560.3222684562511
64544 central_heat_store,eGon2035,64544,central_heat_store,558.881359395742,inf,270.93185295872513,0.8423579405387989,558.881359395742
64891 central_heat_store,eGon2035,64891,central_heat_store,559.6785488361903,inf,271.85988671063126,0.8423579405387989,559.6785488361903
65001 central_heat_store,eGon2035,65001,central_heat_store,559.5726652512479,inf,271.7973380086765,0.8423579405387989,559.5726652512479
65115 central_heat_store,eGon2035,65115,central_heat_store,560.5203924524151,inf,291.91390087778336,0.8423579405387989,560.5203924524151
65148 central_heat_store,eGon2035,65148,central_heat_store,560.0060088042277,inf,274.1371626269668,0.8423579405387989,560.0060088042277
65177 central_heat_store,eGon2035,65177,central_heat_store,559.3827206808093,inf,275.3321249422916,0.8423579405387989,559.3827206808093
65233 central_heat_store,eGon2035,65233,central_heat_store,559.0589624153243,inf,271.3863687124886,0.8423579405387989,559.0589624153243
65389 central_heat_store,eGon2035,65389,central_heat_store,558.9759970999731,inf,272.2033525717243,0.8423579405387989,558.9759970999731
65431 central_heat_store,eGon2035,65431,central_heat_store,558.8886459891722,inf,270.93655386311764,0.8423579405387989,558.8886459891722
65446 central_heat_store,eGon2035,65446,central_heat_store,569.0648533565015,inf,259.4834272341511,0.8423579405387989,569.0648533565015
65454 central_heat_store,eGon2035,65454,central_heat_store,559.5428207530862,inf,271.5162420232441,0.8423579405387989,559.5428207530862
65455 central_heat_store,eGon2035,65455,central_heat_store,558.874357650169,inf,270.58925608903587,0.8423579405387989,558.874357650169
65459 central_heat_store,eGon2035,65459,central_heat_store,559.0571405495059,inf,271.90205842997506,0.8423579405387989,559.0571405495059
65466 central_heat_store,eGon2035,65466,central_heat_store,558.8834414010786,inf,270.966480243965,0.8423579405387989,558.8834414010786
65491 central_heat_store,eGon2035,65491,central_heat_store,558.8649404637067,inf,270.69164959112396,0.8423579405387989,558.8649404637067
65507 central_heat_store,eGon2035,65507,central_heat_store,558.8777033272033,inf,270.98674479547344,0.8423579405387989,558.8777033272033
65516 central_heat_store,eGon2035,65516,central_heat_store,559.2113744444737,inf,272.8845309395902,0.8423579405387989,559.2113744444737
65517 central_heat_store,eGon2035,65517,central_heat_store,590.4500860908609,inf,302.65499267172413,0.8423579405387989,590.4500860908609
65518 central_heat_store,eGon2035,65518,central_heat_store,558.8851881518932,inf,270.9666797562468,0.8423579405387989,558.8851881518932
65736 central_heat_store,eGon2035,65736,central_heat_store,559.8925083845656,inf,267.5807005514494,0.8423579405387989,559.8925083845656
65764 central_heat_store,eGon2035,65764,central_heat_store,558.8776946417248,inf,270.93032691965084,0.8423579405387989,558.8776946417248
65769 central_heat_store,eGon2035,65769,central_heat_store,558.8243785063821,inf,270.87405109849306,0.8423579405387989,558.8243785063821
65859 central_heat_store,eGon2035,65859,central_heat_store,559.1042793509276,inf,270.3795099107347,0.8423579405387989,559.1042793509276
65863 central_heat_store,eGon2035,65863,central_heat_store,558.8911109384734,inf,270.6952834710402,0.8423579405387989,558.8911109384734
65883 central_heat_store,eGon2035,65883,central_heat_store,559.5383452021006,inf,271.2315404867021,0.8423579405387989,559.5383452021006
65952 central_heat_store,eGon2035,65952,central_heat_store,559.0988860936689,inf,267.3575074695698,0.8423579405387989,559.0988860936689
65962 central_heat_store,eGon2035,65962,central_heat_store,560.1204206699563,inf,271.4965185385916,0.8423579405387989,560.1204206699563
65985 central_heat_store,eGon2035,65985,central_heat_store,558.8855487721623,inf,270.2549109624548,0.8423579405387989,558.8855487721623
65998 central_heat_store,eGon2035,65998,central_heat_store,588.9924279319418,inf,300.8663352251789,0.8423579405387989,588.9924279319418
66014 central_heat_store,eGon2035,66014,central_heat_store,559.5179499553525,inf,271.18929493599524,0.8423579405387989,559.5179499553525
66056 central_heat_store,eGon2035,66056,central_heat_store,560.6414427616635,inf,277.8338639427091,0.8423579405387989,560.6414427616635
66067 rural_heat_store,eGon2035,66067,rural_heat_store,364820.3628929233,inf,0.0,33.67257425947273,364820.3628929233
69914 battery_storage,eGon2035,69914,battery_storage,915444.88,inf,721462.775760186,0.0,915444.88
72442 CH4,eGon2035,72442,CH4,2838463.148632284,inf,1155920.5342736805,0.0,2838463.148632284
72443 CH4,eGon2035,72443,CH4,8280.254777070064,inf,6960.39196306616,0.0,8280.254777070064
72444 CH4,eGon2035,72444,CH4,2484.0764331210194,inf,1139.6150974641448,0.0,2484.0764331210194
72445 CH4,eGon2035,72445,CH4,12133404.007686872,inf,3511633.833181676,0.0,12133404.007686872
72446 CH4,eGon2035,72446,CH4,1312109.8894580563,inf,627390.4224477415,0.0,1312109.8894580563
72447 CH4,eGon2035,72447,CH4,265036.7014054664,inf,92229.12193150261,0.0,265036.7014054664
72448 CH4,eGon2035,72448,CH4,849473.6415017634,inf,352793.90302280185,0.0,849473.6415017634
72449 CH4,eGon2035,72449,CH4,868556.2392013995,inf,377619.59501855687,0.0,868556.2392013995
72450 CH4,eGon2035,72450,CH4,267398.7675109458,inf,117739.75988827317,0.0,267398.7675109458
72451 CH4,eGon2035,72451,CH4,4140.127388535032,inf,2027.6994534947696,0.0,4140.127388535032
72452 CH4,eGon2035,72452,CH4,2905679.899832109,inf,1198040.4772657864,0.0,2905679.899832109
72453 CH4,eGon2035,72453,CH4,48382471.469084024,inf,18644397.9439224,0.0,48382471.469084024
72454 CH4,eGon2035,72454,CH4,50631933.48656783,inf,18854458.871893924,0.0,50631933.48656783
72455 CH4,eGon2035,72455,CH4,3726.114649681529,inf,1744.2656389543156,0.0,3726.114649681529
72456 CH4,eGon2035,72456,CH4,207.0063694267516,inf,96.8122552082399,0.0,207.0063694267516
72457 CH4,eGon2035,72457,CH4,31102925.068402104,inf,12485773.049378041,0.0,31102925.068402104
72458 CH4,eGon2035,72458,CH4,850508.6733488971,inf,413881.7495878182,0.0,850508.6733488971
72459 CH4,eGon2035,72459,CH4,24212691.311450083,inf,10151714.982352244,0.0,24212691.311450083
72460 CH4,eGon2035,72460,CH4,128089.64814482017,inf,44223.89233454035,0.0,128089.64814482017
72461 CH4,eGon2035,72461,CH4,49009257.41344681,inf,17232684.806469698,0.0,49009257.41344681
72462 CH4,eGon2035,72462,CH4,4190438.2155952253,inf,1673345.2231337975,0.0,4190438.2155952253
72463 CH4,eGon2035,72463,CH4,4095938.7586747915,inf,2024279.2478717347,0.0,4095938.7586747915
72464 CH4,eGon2035,72464,CH4,1242.0382165605097,inf,572.7574530795588,0.0,1242.0382165605097
72465 CH4,eGon2035,72465,CH4,1242.0382165605097,inf,578.7135263912439,0.0,1242.0382165605097
72466 CH4,eGon2035,72466,CH4,1035.031847133758,inf,478.74495643023835,0.0,1035.031847133758
72467 CH4,eGon2035,72467,CH4,851750.7115654576,inf,322845.5195767304,0.0,851750.7115654576
72468 CH4,eGon2035,72468,CH4,414.0127388535032,inf,193.97452882092327,0.0,414.0127388535032
72469 CH4,eGon2035,72469,CH4,3519.108280254777,inf,1599.2639770086416,0.0,3519.108280254777
